iter	Quantile:alpha=0.5
0	2.562915783
1	2.512340826
2	2.463171895
3	2.41499913
4	2.366661074
5	2.317308598
6	2.271080704
7	2.225449322
8	2.181107487
9	2.138542299
10	2.098157755
11	2.056705085
12	2.015527901
13	1.977807514
14	1.938913633
15	1.900601874
16	1.861678388
17	1.827845122
18	1.793944985
19	1.756881818
20	1.721883106
21	1.689937481
22	1.660542961
23	1.628820504
24	1.599414578
25	1.566323123
26	1.53608962
27	1.50789442
28	1.4768198
29	1.452563192
30	1.423103308
31	1.396799804
32	1.369715215
33	1.346213659
34	1.321394231
35	1.295567356
36	1.272445599
37	1.249071684
38	1.224685405
39	1.200706835
40	1.179854168
41	1.157512158
42	1.136206303
43	1.116471615
44	1.096105362
45	1.07743268
46	1.058074153
47	1.038516268
48	1.020418035
49	1.001706853
50	0.9840491453
51	0.9655600496
52	0.9497306147
53	0.9329083981
54	0.9163889882
55	0.9012542089
56	0.8856354979
57	0.8740718572
58	0.8594776787
59	0.8457483463
60	0.8320341208
61	0.8179437533
62	0.8033565651
63	0.789713041
64	0.7772016798
65	0.7667823204
66	0.7523823806
67	0.7416299988
68	0.7294755662
69	0.7170281309
70	0.7056060417
71	0.6954184439
72	0.6850096057
73	0.6748685656
74	0.6643907704
75	0.6536358369
76	0.6430953166
77	0.6322249392
78	0.6214932008
79	0.6107164228
80	0.6009706036
81	0.5926443169
82	0.5831578804
83	0.5740620928
84	0.5662532502
85	0.5568302489
86	0.5472932721
87	0.5391693595
88	0.5293156439
89	0.5205132821
90	0.5118024875
91	0.5048163409
92	0.4967245499
93	0.488569131
94	0.4795349074
95	0.4717356452
96	0.4645216121
97	0.4558472347
98	0.4490947078
99	0.4440226847
100	0.4371626715
101	0.4289169089
102	0.4216037943
103	0.4145744111
104	0.4075888226
105	0.4016207201
106	0.3953301538
107	0.3900886635
108	0.3838190555
109	0.3780436921
110	0.372626644
111	0.3680547281
112	0.3617969692
113	0.3567178715
114	0.3524748071
115	0.3471381361
116	0.3421972347
117	0.3374500233
118	0.3336147494
119	0.3290716096
120	0.3245793695
121	0.3201624222
122	0.3151088164
123	0.3108277496
124	0.307113624
125	0.3030345621
126	0.2987397183
127	0.2942722878
128	0.2911114796
129	0.2879691631
130	0.2841128838
131	0.281374149
132	0.2779009064
133	0.2744070591
134	0.2704861328
135	0.2664454608
