iter	Passed	Remaining
0	5	32935
1	10	30907
2	15	30301
3	19	29304
4	23	28495
5	27	27950
6	32	27876
7	36	27361
8	40	27005
9	45	26994
10	49	26898
11	53	26799
12	58	26773
13	62	26780
14	66	26665
15	71	26616
16	75	26506
17	79	26478
18	81	25617
19	85	25519
20	89	25579
21	94	25614
22	98	25571
23	102	25602
24	107	25610
25	111	25604
26	115	25641
27	120	25636
28	124	25632
29	125	25064
30	130	25126
31	134	25151
32	139	25172
33	143	25173
34	147	25192
35	152	25206
36	156	25210
37	160	25236
38	165	25276
39	169	25245
40	173	25187
41	176	25100
42	180	25056
43	184	24964
44	188	24929
45	191	24842
46	195	24799
47	199	24773
48	203	24720
49	207	24670
50	211	24623
51	214	24572
52	218	24534
53	222	24488
54	226	24449
55	229	24411
56	233	24389
57	237	24371
58	241	24347
59	245	24331
60	249	24292
61	253	24253
62	257	24253
63	261	24233
64	265	24216
65	269	24195
66	273	24185
67	276	24161
68	280	24131
69	284	24097
70	288	24062
71	291	24032
72	295	24013
73	299	23985
74	303	23984
75	307	23961
76	311	23955
77	315	23943
78	319	23941
79	323	23928
80	327	23919
81	331	23901
82	334	23869
83	338	23845
84	342	23812
85	346	23801
86	349	23786
87	353	23755
88	357	23716
89	361	23716
90	364	23694
91	368	23686
92	372	23663
93	376	23653
94	380	23652
95	384	23636
96	388	23624
97	392	23613
98	396	23614
99	400	23612
100	404	23611
101	408	23606
102	412	23623
103	417	23673
104	422	23724
105	427	23744
106	431	23762
107	435	23780
108	440	23790
109	445	23829
110	449	23851
111	453	23844
112	457	23843
113	462	23875
114	466	23884
115	470	23886
116	475	23898
117	479	23911
118	484	23954
119	489	23965
120	493	23987
121	498	23994
122	502	24006
123	507	24035
124	511	24060
125	516	24077
126	521	24094
127	525	24123
128	530	24156
129	535	24179
130	539	24168
131	543	24162
132	547	24151
133	551	24135
134	555	24114
135	558	24097
136	562	24078
137	566	24059
138	570	24034
139	573	24019
140	577	24008
141	581	23995
142	585	23985
143	589	23966
144	593	23961
145	597	23939
146	600	23920
147	604	23907
148	608	23899
149	612	23883
150	616	23867
151	619	23853
152	623	23838
153	627	23827
154	631	23811
155	635	23794
156	638	23775
157	642	23770
158	646	23757
159	650	23750
160	654	23737
161	658	23723
162	661	23703
163	665	23690
164	669	23671
165	672	23648
166	676	23631
167	680	23615
168	684	23616
169	688	23600
170	691	23585
171	695	23575
172	699	23560
173	703	23547
174	706	23532
175	710	23511
176	714	23497
177	717	23479
178	721	23468
179	725	23457
180	729	23441
181	732	23431
182	736	23416
183	740	23408
184	744	23398
185	748	23389
186	751	23369
187	755	23351
188	759	23340
189	764	23378
190	768	23383
191	772	23366
192	776	23357
193	779	23341
194	783	23337
195	788	23341
196	792	23343
197	796	23347
198	801	23363
199	802	23282
200	807	23302
201	818	23486
202	823	23505
203	827	23508
204	832	23521
205	836	23527
206	841	23537
207	845	23544
208	849	23536
209	853	23544
210	858	23551
211	862	23556
212	867	23562
213	871	23571
214	876	23589
215	880	23590
216	885	23604
217	890	23616
218	894	23619
219	899	23630
220	903	23632
221	908	23649
222	913	23656
223	917	23664
224	921	23661
225	926	23667
226	931	23678
227	935	23689
228	940	23695
229	944	23694
230	949	23709
231	953	23702
232	957	23695
233	961	23691
234	965	23688
235	969	23675
236	973	23667
237	977	23662
238	981	23661
239	985	23663
240	990	23660
241	994	23663
242	998	23661
243	1002	23657
244	1007	23657
245	1011	23657
246	1015	23649
247	1019	23641
248	1023	23639
249	1027	23638
250	1031	23636
251	1035	23629
252	1040	23633
253	1044	23635
254	1048	23630
255	1053	23628
256	1057	23628
257	1061	23625
258	1065	23620
259	1070	23626
260	1074	23627
